Ticker,Date,Price,Volume
ACB,20140926,14.6,193181
ACB,20140925,14.6,374033
ACB,20140924,14.6,237318
ACB,20140923,14.6,155655
ACB,20140922,14.6,673629
ACB,20140919,14.6,605822
ACB,20140918,14.6,83962
ACB,20140917,14.8,295941
ACB,20140916,14.7,106825
ACB,20140915,14.6,97427
ACB,20140912,14.6,110947
ACB,20140911,14.7,69739
ACB,20140910,14.7,88860
ACB,20140909,14.6,266103
ACB,20140908,14.7,249330
ACB,20140905,14.8,101597
ACB,20140904,14.8,67273
ACB,20140903,14.8,96011
ACB,20140829,14.9,110337
ACB,20140828,14.7,44649
ACB,20140827,14.7,108998
ACB,20140826,14.8,142374
ACB,20140825,14.8,136857
ACB,20140822,14.7,19040
ACB,20140821,14.7,89719
ACB,20140820,14.7,68812
ACB,20140819,14.7,4699
ACB,20140818,14.8,82396
ACB,20140815,14.7,101634
ACB,20140814,14.6,196466
ACB,20140813,14.7,191267
ACB,20140812,14.7,87590
ACB,20140811,14.7,18760
ACB,20140808,14.8,196920
ACB,20140807,14.8,23813
ACB,20140806,14.8,16289
ACB,20140805,14.8,57440
ACB,20140804,14.8,57942
ACB,20140801,14.8,31342
ACB,20140731,14.8,110496
ACB,20140730,14.8,9200
ACB,20140729,14.8,94417
ACB,20140728,14.7,110575
ACB,20140725,14.7,103276
ACB,20140724,14.8,57626
ACB,20140723,14.8,46739
ACB,20140722,14.8,221300
ACB,20140721,14.8,59866
ACB,20140718,14.9,105955
ACB,20140717,14.9,9745
ACB,20140716,14.9,121013
ACB,20140715,14.9,70911
ACB,20140714,14.8,153409
ACB,20140711,14.8,69344
ACB,20140710,14.8,99422
ACB,20140709,14.9,62959
ACB,20140708,14.9,203651
ACB,20140707,14.9,176864
ACB,20140704,14.9,117744
ACB,20140703,14.9,309194
ACB,20140702,14.9,114809
ACB,20140701,14.9,203292
ACB,20140630,14.8,272267
ACB,20140627,14.9,47870
ACB,20140626,14.8,250920
ACB,20140625,14.9,90182
ACB,20140624,14.8,186410
ACB,20140623,14.8,164454
ACB,20140620,14.9,98001
ACB,20140619,14.9,259600
ACB,20140618,14.8,139572
ACB,20140617,14.9,86312
ACB,20140616,14.9,50058
ACB,20140613,14.9,56672
ACB,20140612,14.9,151141
ACB,20140611,15,65325
ACB,20140610,14.9,33196
ACB,20140609,14.9,64344
ACB,20140606,14.9,78759
ACB,20140605,14.9,50359
ACB,20140604,14.9,42853
ACB,20140603,14.7,89839
ACB,20140602,14.9,36489
ACB,20140530,15,156903
ACB,20140529,15,36748
ACB,20140528,15.1,44261
ACB,20140527,15,48647
ACB,20140526,14.9,8700
ACB,20140523,14.9,14386
ACB,20140522,14.9,73670
ACB,20140521,15,133886
ACB,20140520,14.8,11744
ACB,20140519,14.8,55680
ACB,20140516,14.8,152398
ACB,20140515,14.8,81150
ACB,20140514,14.7,108281
ACB,20140513,14.4,118603
