Ticker,Date,Price
ACB,20140218,14.7
ACB,20140217,14.7
ACB,20140214,15.1
ACB,20140213,15.1
ACB,20140212,15
ACB,20140211,14.9
ACB,20140210,14.8
ACB,20140207,14.8
ACB,20140206,14.8
ACB,20140127,14.8
ACB,20140124,14.8
ACB,20140123,14.7
ACB,20140122,14.7
ACB,20140121,14.7
ACB,20140120,15
ACB,20140117,15.1
ACB,20140116,14.7
ACB,20140115,14.8
ACB,20140114,14.8
ACB,20140113,14.6
ACB,20140110,14.6
ACB,20140109,14.6
ACB,20140108,14.5
ACB,20140107,14.6
ACB,20140106,14.4
ACB,20140103,14.5
ACB,20140102,14.4
ACB,20131231,14.3
ACB,20131230,14.4
ACB,20131227,14.4
ACB,20131226,14.3
ACB,20131225,14.3
ACB,20131224,14.4
ACB,20131223,14.4
ACB,20131220,14.3
ACB,20131219,14.4
ACB,20131218,14.3
ACB,20131217,14.3
ACB,20131216,14.3
ACB,20131213,14.3
ACB,20131212,14.3
ACB,20131211,14.2
ACB,20131210,14.3
ACB,20131209,14.3
ACB,20131206,14.3
ACB,20131205,14.4
ACB,20131204,14.4
ACB,20131203,14.3
ACB,20131202,14.3
ACB,20131129,14.3
ACB,20131128,14.2
ACB,20131127,14.4
ACB,20131126,14.4
ACB,20131125,14.4
ACB,20131122,14.4
ACB,20131121,14.4
ACB,20131120,14.4
ACB,20131119,14.4
ACB,20131118,14.3
ACB,20131115,14.3
ACB,20131114,14.3
ACB,20131113,14.3
ACB,20131112,14.3
ACB,20131111,14.2
ACB,20131108,14.2
ACB,20131107,14.2
ACB,20131106,14.3
ACB,20131105,14.4
ACB,20131104,14.3
ACB,20131101,14.4
ACB,20131031,14.3
ACB,20131030,14.3
ACB,20131029,14.3
ACB,20131028,14.2
ACB,20131025,14.3
ACB,20131024,14.3
ACB,20131023,14.3
ACB,20131022,14.3
ACB,20131021,14.4
ACB,20131018,14.4
ACB,20131017,14.4
ACB,20131016,14.5
ACB,20131015,14.5
ACB,20131014,14.4
ACB,20131011,14.4
ACB,20131010,14.4
ACB,20131009,14.5
ACB,20131008,14.3
ACB,20131007,14.4
ACB,20131004,14.3
ACB,20131003,14.4
ACB,20131002,14.3
ACB,20131001,14.4
ACB,20130930,14.2
ACB,20130927,14.2
ACB,20130926,14.2
ACB,20130925,14.2
ACB,20130924,14.2
ACB,20130923,14.1
ACB,20130920,14.2
ACB,20130919,14.1
ACB,20130918,14.1
ACB,20130917,14.1
ACB,20130916,14.1
ACB,20130913,14.1
ACB,20130912,14
ACB,20130911,14.2
ACB,20130910,14.1
ACB,20130909,14
ACB,20130906,14.1
ACB,20130905,14
ACB,20130904,13.9
ACB,20130903,14
ACB,20130830,14.1
ACB,20130829,13.9
ACB,20130828,13.9
ACB,20130827,14.2
ACB,20130826,14.2
ACB,20130823,14.2
ACB,20130822,14.2
ACB,20130821,14.3
ACB,20130820,14.3
ACB,20130819,14.3
ACB,20130816,14.2
ACB,20130815,14.3
